o;?Vernier Format 2
uteE> 49.90g + 49.32g 1.cmbl 18.10.2022 18:15:02 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/sB2

1,4906848	1	0	 	 
2,8745092	0	 	 	 
3,6940836	1	0,05	0,110999801064	0,0801557899974
3,7089836	0	 	 	 
4,088396	1	0,1	0,149307318188	0,114144552187
4,0988916	0	 	 	 
4,3887844	1	0,15	0,184249031725	0,118499008866
4,3976816	0	 	 	 
4,6398812	1	0,2	0,212357559959	0,105386984377
4,648282	0	 	 	 
4,8629824	1	0,25	0,237970494279	0,124221232165
4,8698848	0	 	 	 
5,0626836	1	0,3	0,25915583933	0,0879492009682
5,0707844	0	 	 	 
5,249684	1	0,35	0,278082618893	0,114475815905
5,2567996	0	 	 	 
5,4232836	1	0,4	0,297276026225	0,106646897883
5,4293064	0	 	 	 
5,586688	1	0,45	0,315338877265	0,11443467691
5,591684	0	 	 	 
5,7409308	1	0,5	0,332520804883	0,108355983238
5,745684	0	 	 	 
5,8877836	1	0,55	0,349950896317	0,129025822685
5,8924044	0	 	 	 
6,0270836	1	0,6	0,364836988318	0,0847012699258
6,031984	0	 	 	 
6,1620176	1	0,65	0,38009868259	0,141508495926
6,1663848	0	 	 	 
6,29049	1	0,7	0,392894045469	0,0576839045979
6,2958836	0	 	 	 
6,4165836	1	0,75	0,404341593339	0,123888322222
6,421484	0	 	 	 
6,5379836	1	0,8	0,41835509202	0,106976565442
6,542284	0	 	 	 
6,6557268	1	0,85	0,4316238671	0,118408426297
6,6593844	0	 	 	 
6,769784	1	0,9	0,444495498823	0,107296425717
6,7733056	0	 	 	 
6,880784	1	0,95	0,45807064113	0,137300732969
6,8843104	0	 	 	 
6,988208	1	1	0,468803892358	0,0625289369033
6,9920272	0	 	 	 
7,0941144	1	1,05	0,480549298704	0,159278363619
7,0975848	0	 	 	 
7,1964272	1	1,1	0,490034225327	0,0261319979906
7,2007848	0	 	 	 
7,2981848	1	1,15	0,498240376564	0,135156224932
7,3021856	0	 	 	 
7,397208	1	1,2	0,510040063595	0,103165441741
7,4007864	0	 	 	 
