o;?Vernier Format 2
pognano kolo z roko 4.cmbl 18.10.2022 17:44:08 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/sB2

0,2707896	1	0	 	 
0,2794824	0	 	 	 
0,5472844	1	0,05	0,18070366324	-0,000951656530421
0,557298	0	 	 	 
0,8241824	1	0,1	0,17989426053	-0,00489455911298
0,8352008	0	 	 	 
1,1031824	1	0,15	0,17929560525	0,000603123411862
1,1150828	0	 	 	 
1,3819208	1	0,2	0,17870421576	-0,00484645328935
1,3910936	0	 	 	 
1,6627824	1	0,25	0,177508764221	-0,00366629134079
1,6728168	0	 	 	 
1,9452828	1	0,3	0,175635940292	-0,00959262035745
1,9545028	0	 	 	 
2,2322108	1	0,35	0,173433942986	-0,00575615916915
2,2412832	0	 	 	 
2,5218976	1	0,4	0,172265643508	-0,00230978983187
2,5309972	0	 	 	 
2,812714	1	0,45	0,171825919102	-0,000714279008939
2,8232828	0	 	 	 
3,1038824	1	0,5	0,171129064033	-0,00407233291925
3,1154976	0	 	 	 
3,3970824	1	0,55	0,170677838632	0,000994397028654
3,4095828	0	 	 	 
3,6897824	1	0,6	0,170131451723	-0,00472782312114
3,6993832	0	 	 	 
3,9848828	1	0,65	0,168832769706	-0,00407380518491
3,9954824	0	 	 	 
4,2820996	1	0,7	0,166829607238	-0,00940566480325
4,2918824	0	 	 	 
4,5843824	1	0,75	0,164568197092	-0,00555655035415
4,5939248	0	 	 	 
4,8897824	1	0,8	0,163399737323	-0,00209544551504
4,8993824	0	 	 	 
5,1963832	1	0,85	0,163025367495	-0,000346621358282
5,2074824	0	 	 	 
5,503184	1	0,9	0,162440109838	-0,00346860765364
5,5154232	0	 	 	 
5,812008	1	0,95	0,162022521657	0,000764231175376
5,8251924	0	 	 	 
6,1203828	1	1	0,161433315262	-0,00458559657341
6,1305208	0	 	 	 
6,4314828	1	1,05	0,160179887065	-0,00347244391086
6,4426824	0	 	 	 
6,7446952	1	1,1	0,158228420198	-0,00898853699092
6,7549824	0	 	 	 
7,0635824	1	1,15	0,155921764459	-0,00547837004247
7,0736832	0	 	 	 
